Player,Team,Position,Salary,Years,Total value,Average Annual
"McMahon, Ryan",Rockies,3,"$12,000,000",6,"$70,000,000","$11,666,667"
"Senzatela, Antonio",Rockies,RHP,"$12,000,000",5,"$50,500,000","$10,100,000"
"DeSclafani, Anthony",Twins,RHP,"$12,000,000",3,"$36,000,000","$12,000,000"
"Tatis Jr., Fernando",Padres,OF,"$11,714,286",14,"$340,000,000","$24,285,714.29"
"Santander, Anthony",Orioles,OF,"$11,700,000",,$0,$0
"Montero, Rafael",Astros,RHP,"$11,500,000",3,"$34,500,000","$11,500,000"
"Hoerner, Nico",Cubs,2,"$11,500,000",3,"$35,000,000","$11,666,667"
"Canha, Mark",Tigers,OF,"$11,500,000",,$0,$0
"Stephenson, Robert",Angels,RHP,"$11,000,000",3,"$33,000,000","$11,000,000"
"Suarez, Eugenio",Diamondbacks,3,"$11,000,000",7,"$66,000,000","$9,428,571.43"
"Crawford, J.P.",Mariners,SS,"$11,000,000",5,"$51,000,000","$10,200,000"
"Eflin, Zach",Rays,RHP,"$11,000,000",3,"$40,000,000","$13,333,333"
"Walker, Christian",Diamondbacks,1,"$10,900,000",,$0,$0
"Alvarez, Yordan",Astros,DH,"$10,833,333",6,"$115,000,000","$19,166,667"
"Arraez, Luis",Marlins,2,"$10,600,000",,$0,$0
"Green, Chad",Blue Jays,RHP,"$10,500,000",2,"$8,500,000","$4,250,000"
"Kiermaier, Kevin",Blue Jays,OF,"$10,500,000",,$0,$0
"Smyly, Drew",Cubs,LHP,"$10,500,000",2,"$19,000,000","$9,500,000"
"Garver, Mitch",Mariners,DH,"$10,500,000",2,"$24,000,000","$12,000,000"
"Polanco, Jorge",Mariners,2,"$10,500,000",,$0,$0
"Bader, Harrison",Mets,OF,"$10,500,000",,$0,$0
"Chapman, Aroldis",Pirates,LHP,"$10,500,000",,$0,$0
"McNeil, Jeff",Mets,2,"$10,250,000",4,"$50,000,000","$12,500,000"
"Reynolds, Bryan",Pirates,OF,"$10,250,000",8,"$106,750,000","$13,343,750"
"Hicks, Aaron",Angels,OF,"$10,240,000",7,"$70,000,000","$10,000,000"
"Gallen, Zac",Diamondbacks,RHP,"$10,011,000",,$0,$0
"Kikuchi, Yusei",Blue Jays,LHP,"$10,000,000",3,"$36,000,000","$12,000,000"
"Gray, Sonny",Cardinals,RHP,"$10,000,000",3,"$75,000,000","$25,000,000"
"Lynn, Lance",Cardinals,RHP,"$10,000,000",,$0,$0
"Gurriel Jr., Lourdes",Diamondbacks,OF,"$10,000,000",3,"$42,000,000","$14,000,000"
"Cobb, Alex",Giants,RHP,"$10,000,000",,$0,$0
"Soler, Jorge",Giants,DH,"$10,000,000",3,"$42,000,000","$14,000,000"
"Suarez, Robert",Padres,RHP,"$10,000,000",5,"$46,000,000","$9,200,000"
"Marquez, German",Rockies,RHP,"$10,000,000",2,"$20,000,000","$10,000,000"
"Kepler, Max",Twins,OF,"$10,000,000",,$0,$0
"Margot, Manuel",Twins,OF,"$10,000,000",,$0,$0
"Vazquez, Christian",Twins,C,"$10,000,000",3,"$30,000,000","$10,000,000"
"Imanaga, Shota",Cubs,LHP,"$9,500,000",4,"$53,000,000","$13,250,000"
"Pederson, Joc",Diamondbacks,OF,"$9,500,000",,$0,$0
"Muncy, Max",Dodgers,3,"$9,500,000",2,"$24,000,000","$12,000,000"
"Martin, Chris",Red Sox,RHP,"$9,500,000",2,"$17,500,000","$8,750,000"
"Bard, Daniel",Rockies,RHP,"$9,500,000",,$0,$0
"Alcantara, Sandy",Marlins,RHP,"$9,300,000",5,"$56,000,000","$11,200,000"
"Yamamoto, Yoshinobu",Dodgers,RHP,"$9,166,667",12,"$325,000,000","$27,083,333"
"Alvarado, Jose",Phillies,LHP,"$9,025,000",3,"$22,000,000","$11,000,000"
"Moore, Matt",Angels,LHP,"$9,000,000",,$0,$0
"Murphy, Sean",Braves,C,"$9,000,000",6,"$73,000,000","$12,166,667"
"Neris, Hector",Cubs,RHP,"$9,000,000",,$0,$0
